PNAME,GP,W,PTS,FG%,3P%,REB,AST,STL,BLK
Russell Westbrook,81,46,31.6,42.5,34.3,10.7,10.4,1.6,0.4
Anthony Davis,75,31,28.0,50.5,29.9,11.8,2.1,1.3,2.2
DeMarcus Cousins,72,30,27.0,45.2,36.1,11.0,4.6,1.4,1.3
LeBron James,74,51,26.4,54.8,36.3,8.6,8.7,1.2,0.6
Kawhi Leonard,74,54,25.5,48.5,38.0,5.8,3.5,1.8,0.7
Stephen Curry,79,65,25.3,46.8,41.1,4.5,6.6,1.8,0.2
Kyrie Irving,72,47,25.2,47.3,40.1,3.2,5.8,1.2,0.3
Jimmy Butler,76,40,23.9,45.5,36.7,6.2,5.5,1.9,0.4
Paul George,75,39,23.7,46.1,39.3,6.6,3.3,1.6,0.4
Isaiah Thomas,76,51,28.9,46.3,37.9,2.7,5.9,0.9,0.2
